T [°C],p [bar],ρ_vätska [kg/m³],ρ_ånga [kg/m³],h_vätska [kJ/kg],h_ånga [kJ/kg],hfg [kJ/kg],s_vätska [kJ/kg·K],s_ånga [kJ/kg·K],μ_ånga [μPa·s]
10,0.734,1298.3,4.21,211.85,410.61,198.75,1.0426,1.7445,10.52
15,0.894,1286.6,5.07,217.84,414.11,196.27,1.0635,1.7446,10.71
20,1.081,1274.8,6.07,223.86,417.6,193.74,1.0841,1.745,10.9
25,1.298,1262.8,7.21,229.93,421.09,191.15,1.1046,1.7457,11.1
30,1.547,1250.6,8.51,236.04,424.56,188.52,1.1249,1.7467,11.29
35,1.832,1238.2,9.99,242.19,428.01,185.82,1.1449,1.7479,11.49
40,2.155,1225.6,11.66,248.39,431.45,183.06,1.1648,1.7493,11.69
45,2.521,1212.8,13.55,254.63,434.86,180.23,1.1845,1.7509,11.89
50,2.933,1199.7,15.68,260.93,438.24,177.32,1.204,1.7527,12.1
55,3.394,1186.4,18.06,267.27,441.6,174.33,1.2233,1.7546,12.3
60,3.909,1172.8,20.73,273.67,444.92,171.25,1.2426,1.7566,12.51
65,4.48,1158.8,23.7,280.12,448.19,168.07,1.2616,1.7587,12.73
70,5.113,1144.6,27.01,286.64,451.43,164.79,1.2806,1.7608,12.95
75,5.81,1129.9,30.69,293.22,454.61,161.39,1.2995,1.763,13.18
80,6.577,1114.9,34.79,299.86,457.73,157.87,1.3182,1.7653,13.41
